Battletag,Paragon,Rank,Rift level,Time,Completed on
Dinho#11994,2813,336,118,746816,2019-03-09
Tom#1885,1956,337,118,748116,2019-03-28
Piglett#1778,1567,338,118,754199,2019-03-17
didiao#11457,3178,339,118,762916,2019-04-05
sprider#1643,3256,340,118,764116,2019-04-06
NinjaMuffinn#1886,1980,341,118,767082,2019-03-25
lingzhuzhu#1505,1791,342,118,767133,2019-03-10
BeefDragon#1964,2435,343,118,767949,2019-03-10
WildWolf#1138807,2613,344,118,768699,2019-03-03
cdnhobbs#1917,2046,345,118,771683,2019-04-05
vschong#6409,1445,346,118,773033,2019-03-19
TomAbbott#1719,1912,347,118,773566,2019-03-21
jipi1472#1859,2762,348,118,778449,2019-02-23
War#1329,1670,349,118,779799,2019-03-04
Trent#1594,1871,350,118,780116,2019-03-22
Cloudy#1357,1696,351,118,780783,2019-03-08
Triton#1638,1526,352,118,781816,2019-03-07
Evil#1595,1386,353,118,783949,2019-03-27
moon#1843,1649,354,118,784450,2019-02-26
ImUnoriginal#11182,1645,355,118,787116,2019-03-08
Hulk#1363,1975,356,118,789183,2019-03-16
AckAttack#11972,2547,357,118,789199,2019-02-28
Papy#11773,2481,358,118,792800,2019-03-29
Gorz#11557,1598,359,118,794566,2019-02-02
BoOm#1504,1472,360,118,794783,2019-02-21
Stiff#11272,3281,361,118,795366,2019-04-03
SuperHan#11477,2066,362,118,796116,2019-03-31
vinsane#1716,1559,363,118,797016,2019-01-31
ButterButt#1798,1543,364,118,797783,2019-02-21
JohnLing#1961,1653,365,118,799283,2019-02-24
常歡#3731,2353,366,118,802783,2019-02-27
oOAkOo#11103,2211,367,118,804583,2019-03-10
michonly#1746,2462,368,118,809116,2019-03-28
PerSnickety#1337,2136,369,118,809283,2019-04-03
xAzNxJaCk#1224,1722,370,118,809349,2019-03-19
Peter#22968,1400,371,118,809932,2019-02-24
KnoxVillain#11489,2041,372,118,810300,2019-03-25
Samson#1956,2913,373,118,810416,2019-04-01
Veth#11314,2188,374,118,811716,2019-03-29
ZOOLIEJOE#6427,1887,375,118,817766,2019-04-01
Happymouse#1364,3619,376,118,818933,2019-04-02
Drasuka#1980,1792,377,118,821599,2019-03-28
KRYSTA#1567,2145,378,118,822883,2019-03-04
RuneJuicer#1565,1870,379,118,823199,2019-04-01
ShibuyaYuuri#1665,1667,380,118,824100,2019-03-27
